Battery List,,,,,,,,,,,,,,,
"Data has not changed since January 11, 2024",,,,,,,,,,,,,,,
"This list contains an extensive amount of equipment information. If you require any assistance, please reach out to us at SolarEquipment@energy.ca.gov or 916-654-4120.",,,,,,,,,,,,,,,
Battery List Notes,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
"(1) This information references the 2022 Building Energy Efficiency Standards' Reference Joint Appendix 12. This appendix outlines requirements for energy storage systems to qualify for battery storage compliance credit. For more information, contact the Title 24 Hotline at (916) 654-5106 or Title24@energy.ca.gov.",,,,,,,,,,,,,,,
(2) Maximum continuous discharge rate as stated by the manufacturer on the spec sheet.,,,,,,,,,,,,,,,
Guidelines for California's Solar Electric Incentive Programs (Senate Bill 1),,,,,,,,,,,,,,,
Blue colored text indicates that the model number occurs multiple times on the list under different manufacturer names.,,,,,,,,,,,,,,,
Intentionally Left Blank,,,,,,,,,,,,,,,
Manufacturer Name,Brand1,Model Number,Technology,Description,UL 1973 Certification,,,Nameplate Energy Capacity,Maximum Continuous Discharge Rate2,Manufacturer Declared Roundtrip Efficiency,Certified JA12 Control  Strategies1,Declaration for JA12 Submitted1,Notes,CEC Listing Date,Last Update
"Shenzhen Growatt New Energy Technology Co., Ltd",,ARO 13.2H-C1-US,Lithium Iron Phosphate,"5.2 kW, 13.2 kWh lithium iron battery system",Intertek,27/11/2020,Ed. 2 : 2018,13.2,5.2,No Information Submitted,No Information Submitted,N,,11/03/2021,
"Shenzhen Growatt New Energy Technology Co., Ltd",,ARO 16.5H-C1-US,Lithium Iron Phosphate,"5.2 kW, 16.5 kWh lithium iron battery system",Intertek,27/11/2020,Ed. 2 : 2018,16.5,5.2,No Information Submitted,No Information Submitted,N,,11/03/2021,
"Shenzhen Growatt New Energy Technology Co., Ltd",,ARO 19.8H-C1-US,Lithium Iron Phosphate,"5.2 kW, 19.8 kWh lithium iron battery system",Intertek,27/11/2020,Ed. 2 : 2018,19.8,5.2,No Information Submitted,No Information Submitted,N,,11/03/2021,
"Shenzhen GSL Energy Co., Ltd.",,GSL051200A-B-GBP2,Lithium-Ion,"5.12 kW, 10.24 kWh lithium iron phosphate battery",Intertek,28/09/2022,Ed. 2 : 2018,10.24,5.12,No Information Submitted,No Information Submitted,N,,01/02/2023,
"Shenzhen GSL Energy Co., Ltd.",,GSL051280A-B-GBP2,Lithium Iron Phosphate,"7.68 kW, 14.34 kWh lithium iron phosphate battery",SGS,10/10/2022,Ed. 2 : 2018,14.34,7.68,No Information Submitted,No Information Submitted,N,,23/01/2023,
Shenzhen UZ Energy Limited,,L051100-B,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh lithium iron battery",TUV Rheinland of North America,14/03/2023,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,11/05/2023,
Shenzhen UZ Energy Limited,,PLPA-L1-10K2,Lithium Iron Phosphate,"6.14 kW, 10.24 kWh, lithium iron phosphate battery",TUV,07/11/2023,Ed. 3 : 2022,10.24,6.14,No Information Submitted,No Information Submitted,N,,02/01/2024,
"SimpliPhi Power, Inc.",,AmpliPHI3.8-48,Lithium Iron Phosphate,"1.9 kW, 3.8 kWh, lithium iron phosphate (LFP) battery",Intertek,04/06/2022,Ed. 2 : 2018,3.8,1.9,No Information Submitted,No Information Submitted,N,,21/02/2023,
"SimpliPhi Power, Inc.",,PHI3.8 24V 60 VTE BRK,Lithium Iron Phosphate,"1.9 kW, 3.8 kWh, 24V lithium ion (LFP) battery",Intertek,11/08/2020,Ed. 2 : 2018,3.8,1.9,No Information Submitted,No Information Submitted,N,,23/11/2020,
"SimpliPhi Power, Inc.",,PHI3.8 48V 60 VTE BRK,Lithium Iron Phosphate,"1.9 kW, 3.8 kWh, 48V lithium ion (LFP) battery",Intertek,11/08/2020,Ed. 2 : 2018,3.8,1.9,No Information Submitted,No Information Submitted,N,,23/11/2020,
"SimpliPhi Power, Inc.",,SPHI-B-4.9,Lithium Iron Phosphate,"2.48 kW, 4.9 kWh lithium iron phosphate (LFP) battery",Intertek,04/06/2022,Ed. 2 : 2018,4.9,2.48,No Information Submitted,No Information Submitted,N,,03/01/2023,
SolarEdge Technologies Ltd.,SolarEdge,BAT-10K1P,Lithium-Ion,"5 kW, 9.7 kWh lithium ion battery system",Intertek,17/06/2021,Ed. 2 : 2018,9.7,5,"92.9 [SE3000H-US]
92.9 [SE3800H-US]
92.9 [SE5000H-US]
92.9 [SE6000H-US]
92.9 [SE7600H-US]
92.9 [SE1000H-US]
92.9 [SE11400H-US]","SE3000H-US - Basic, TOU
SE3800H-US - Basic, TOU
SE5000H-US - Basic, TOU
SE6000H-US - TOU
SE7600H-US - Basic, TOU
SE1000H-US - Basic, TOU
SE11400H-US - Basic, TOU",Y,,11/10/2021,21/09/2023
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",,T-BAT H 10.0,Lithium Iron,"5.5 kW, 10 kWh, lithium iron battery system",CSA Group,13/04/2022,Ed. 2 : 2018,10,5.5,No Information Submitted,No Information Submitted,N,,01/02/2023,
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",,T-BAT H 15.0,Lithium Iron,"8.3 kW, 15 kWh, lithium iron battery system",CSA Group,13/04/2022,Ed. 2 : 2018,15,8.3,No Information Submitted,No Information Submitted,N,,01/02/2023,
"SolaX Power Network Technology (Zhe jiang) Co., Ltd.",,T-BAT H 20.0,Lithium Iron,"11.1 kW, 20 kWh, lithium iron battery system",CSA Group,13/04/2022,Ed. 2 : 2018,20,11.1,No Information Submitted,No Information Submitted,N,,01/02/2023,
"Soluna(Shanghai)Co.,Ltd",,Soluna 6K Pack HV(L-E),Lithium Ion,"6 kW, 6 kWh, lithium ion battery",Intertek,16/10/2023,Ed. 3 : 2022,6,6,No Information Submitted,No Information Submitted,N,,01/12/2023,
"Soluna(Shanghai)Co.,Ltd",,Soluna 10K Pack HV(L-E),Lithium Ion,"10 kW, 10 kWh, lithium ion battery",Intertek,16/10/2023,Ed. 3 : 2022,10,10,No Information Submitted,No Information Submitted,N,,01/12/2023,
"Soluna(Shanghai)Co.,Ltd",,Soluna 15K Pack HV(L-E),Lithium Ion,"15 kW, 15 kWh, lithium ion battery",Intertek,16/10/2023,Ed. 3 : 2022,15,15,No Information Submitted,No Information Submitted,N,,01/12/2023,
"StackRack Battery Systems, LLC",,SR5K-UL,Lithium Iron Phosphate,"2.56 kW, 5.12 kWh, lithium iron phosphate battery",TUV SUD,04/01/2023,Ed. 2 : 2018,5.12,2.56,No Information Submitted,No Information Submitted,N,,01/03/2023,
Storz Power LLC,,SP5.12-LFPv4,Lithium Iron Phosphate,"5.12 kW, 5.12 kWh, 100 Ah lithium iron phosphate battery",Intertek,22/07/2020,Ed. 2 : 2018,5.12,5.12,No Information Submitted,No Information Submitted,N,,03/05/2021,
"Sunwoda Energy Technology Co., Ltd.",,Atrix-5,Lithium Iron Phosphate,"5 kW, 5 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,01/06/2023,
"Sunwoda Energy Technology Co., Ltd.",,"B051100P
02",Lithium Iron Phosphate,"5 kW, 5 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,01/06/2023,
"Sunwoda Energy Technology Co., Ltd.",,SunESS-5,Lithium Iron Phosphate,"5 kW, 5 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,01/05/2023,
"Sunwoda Energy Technology Co., Ltd.",,Atrix-10,Lithium Iron Phosphate,"9 kW, 10 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,01/06/2023,
"Sunwoda Energy Technology Co., Ltd.",,SunESS-10,Lithium Iron Phosphate,"9 kW, 10 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,01/05/2023,
"Sunwoda Energy Technology Co., Ltd.",,Atrix-15,Lithium Iron Phosphate,"10 kW, 15 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,01/06/2023,
"Sunwoda Energy Technology Co., Ltd.",,SunESS-15,Lithium Iron Phosphate,"10 kW, 15 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,01/05/2023,
"Sunwoda Energy Technology Co., Ltd.",,Atrix-20,Lithium Iron Phosphate,"10 kW, 20 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,01/06/2023,
"Sunwoda Energy Technology Co., Ltd.",,SunESS-20,Lithium Iron Phosphate,"10 kW, 20 kWh, lithium iron phosphate battery",CSA Group,02/02/2023,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,01/05/2023,
"Tigo Energy, Inc",,TSB-7-US,Lithium Iron Phosphate,"3.5 kW, 6.6 kWh lithium iron battery system",Intertek,08/11/2021,Ed. 2 : 2018,6.6,3.5,No Information Submitted,No Information Submitted,N,,21/01/2022,
"Tigo Energy, Inc",,TSB-10-US,Lithium Iron Phosphate,"5.2 kW, 9.9 kWh lithium iron battery system",Intertek,08/11/2021,Ed. 2 : 2018,9.9,5.2,No Information Submitted,No Information Submitted,N,,21/01/2022,
"Tigo Energy, Inc",,TSB-14-US,Lithium Iron Phosphate,"5.2 kW, 13.2 kWh lithium iron battery system",Intertek,08/11/2021,Ed. 2 : 2018,13.2,5.2,No Information Submitted,No Information Submitted,N,,21/01/2022,
"Tigo Energy, Inc",,TSB-17-US,Lithium Iron Phosphate,"5.2 kW, 16.5 kWh lithium iron battery system",Intertek,08/11/2021,Ed. 2 : 2018,16.5,5.2,No Information Submitted,No Information Submitted,N,,21/01/2022,
"Tigo Energy, Inc",,TSB-20-US,Lithium Iron Phosphate,"5.2 kW, 19.8 kWh lithium iron battery system",Intertek,08/11/2021,Ed. 2 : 2018,19.8,5.2,No Information Submitted,No Information Submitted,N,,21/01/2022,
TROES Corp.,,TR-S138-6P9,Lithium Iron Phosphate,"55.3 kW, 55.3 kWh, lithium iron phosphate battery",TUV Rheinland,26/01/2022,Ed. 2 : 2018,55.3,55.3,No Information Submitted,No Information Submitted,N,,01/04/2022,
TROES Corp.,,TR-S138-7P9,Lithium Iron Phosphate,"64.51 kW, 64.51 kWh, lithium iron phosphate battery",TUV Rheinland,26/01/2022,Ed. 2 : 2018,64.51,64.51,No Information Submitted,No Information Submitted,N,,01/04/2022,
TROES Corp.,,TR-S138-8P9,Lithium Iron Phosphate,"73.73 kW, 73.73 kWh, lithium iron phosphate battery",TUV Rheinland,26/01/2022,Ed. 2 : 2018,73.73,73.73,No Information Submitted,No Information Submitted,N,,01/04/2022,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 4.8kWh,Lithium Iron Phosphate,"2.88 kW, 4.8 kWh, lithium iron phosphate battery",CSA Group,21/06/2023,Ed. 3 : 2022,4.8,2.88,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 5000A,Lithium Iron Phosphate,"3.0 kW, 5 kWh, lithium iron phosphate battery",CSA Group,08/09/2023,Ed. 3 : 2022,5,3,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 5000,Lithium Iron Phosphate,"3.0 kW, 5.1 kWh, lithium iron phosphate battery",CSA Group,26/10/2023,Ed. 3 : 2022,5.1,3,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 9.6kWh,Lithium Iron Phosphate,"5.76 kW, 9.6 kWh, lithium iron phosphate battery",CSA Group,21/06/2023,Ed. 3 : 2022,9.6,5.76,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 14.4kWh,Lithium Iron Phosphate,"8.64 kW, 14.4 kWh, lithium iron phosphate battery",CSA Group,21/06/2023,Ed. 3 : 2022,14.4,8.64,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Uhome Smart Energy (Wuxi) Co., Ltd.",,LFP 19.2kWh,Lithium Iron Phosphate,"9.6 kW, 19.2 kWh, lithium iron phosphate battery",CSA Group,21/06/2023,Ed. 3 : 2022,19.2,9.6,No Information Submitted,No Information Submitted,N,,21/12/2023,
"Ulectric Technology Co., Ltd",,Camel HESS-5,Lithium Iron Phosphate,"5 kW, 5 kWh, lithium ion battery",CSA Group,27/12/2022,Ed. 2 : 2018,5,5,No Information Submitted,No Information Submitted,N,,21/07/2023,
"Ulectric Technology Co., Ltd",,Camel HESS-10,Lithium Iron Phosphate,"9 kW, 10 kWh, lithium ion battery",CSA Group,27/12/2022,Ed. 2 : 2018,10,9,No Information Submitted,No Information Submitted,N,,21/07/2023,
"Ulectric Technology Co., Ltd",,Camel HESS-15,Lithium Iron Phosphate,"10 kW, 15 kWh, lithium ion battery",CSA Group,27/12/2022,Ed. 2 : 2018,15,10,No Information Submitted,No Information Submitted,N,,21/07/2023,
"Ulectric Technology Co., Ltd",,Camel HSS-20,Lithium Iron Phosphate,"10 kW, 20 kWh, lithium ion battery",CSA Group,27/12/2022,Ed. 2 : 2018,20,10,No Information Submitted,No Information Submitted,N,,21/07/2023,
Xiamen Ampace Technology Limited,,C-M51200ESA1,Lithium Iron Phosphate,"5.12 kW, 10 kWh lithium iron battery",UL,10/05/2022,Ed. 2 : 2018,10.03,5.12,No Information Submitted,No Information Submitted,N,,11/10/2023,
"Xiamen Kehua Digital Energy Tech Co., Ltd",,iStoragE B5L-S1,Lithium Iron Phosphate,"2.5 kW, 5 kWh lithium iron phosphate battery",Intertek,07/11/2022,Ed. 2 : 2018,5,2.5,No Information Submitted,No Information Submitted,N,,01/12/2023,
"Yotta Energy, Inc.",Solar Leaf,SL-1000,Lithium Iron Phosphate,"675 W, 1 kWh lithium iron phosphate battery",UL,05/01/2023,Ed. 3 : 2022,1,0.675,"90 [DPI 208]
90 [DPI 480]","DPI 208 - Basic, TOU, Alternative
DPI 480 - Basic, TOU, Alternative",Y,,13/02/2023,22/05/2023
